stream_id,stream_name,time_parameter,binsize_minutes,stream_type,stream_content,description,parameter_id,name,unit,fill_value,display_name,standard_name,parameter_precision,parameter_function_id,parameter_function_map,data_product_identifier,description,data_level,data_product_type,parameter_type,value_encoding
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1701,cg_eng_errmsg_d_status,1,empty,Cg Eng Errmsg D Status,,,,,,Engineering CPM Controller Status Data,,,quantity,string
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1702,cg_eng_errmsg_dlog_mgr,1,empty,Cg Eng Errmsg Dlog Mgr,,,,,,Engineering CPM Controller Status Data,,,quantity,string
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1703,cg_eng_errmsg_dlogp1,1,empty,Cg Eng Errmsg Dlogp1,,,,,,Engineering CPM Controller Status Data,,,quantity,string
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1704,cg_eng_errmsg_dlogp2,1,empty,Cg Eng Errmsg Dlogp2,,,,,,Engineering CPM Controller Status Data,,,quantity,string
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1705,cg_eng_errmsg_dlogp3,1,empty,Cg Eng Errmsg Dlogp3,,,,,,Engineering CPM Controller Status Data,,,quantity,string
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1706,cg_eng_errmsg_dlogp4,1,empty,Cg Eng Errmsg Dlogp4,,,,,,Engineering CPM Controller Status Data,,,quantity,string
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1707,cg_eng_errmsg_dlogp5,1,empty,Cg Eng Errmsg Dlogp5,,,,,,Engineering CPM Controller Status Data,,,quantity,string
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1708,cg_eng_errmsg_dlogp6,1,empty,Cg Eng Errmsg Dlogp6,,,,,,Engineering CPM Controller Status Data,,,quantity,string
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1709,cg_eng_errmsg_dlogp7,1,empty,Cg Eng Errmsg Dlogp7,,,,,,Engineering CPM Controller Status Data,,,quantity,string
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1710,cg_eng_errmsg_dlogp8,1,empty,Cg Eng Errmsg Dlogp8,,,,,,Engineering CPM Controller Status Data,,,quantity,string
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1711,cg_eng_errmsg_rcmd,1,empty,Cg Eng Errmsg Rcmd,,,,,,Engineering CPM Controller Status Data,,,quantity,string
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1712,cg_eng_errmsg_bcmd,1,empty,Cg Eng Errmsg Bcmd,,,,,,Engineering CPM Controller Status Data,,,quantity,string
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1713,cg_eng_cpu_uptime,1,empty,Cg Eng CPU Uptime,,,,,,Engineering CPM Controller Status Data,,,quantity,string
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1714,cg_eng_cpu_load1,counts,-9999999,Cg Eng CPU Load1,,2,,,,Engineering CPM Controller Status Data,,,quantity,float32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1715,cg_eng_cpu_load5,counts,-9999999,Cg Eng CPU Load5,,2,,,,Engineering CPM Controller Status Data,,,quantity,float32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1716,cg_eng_cpu_load15,counts,-9999999,Cg Eng CPU Load15,,2,,,,Engineering CPM Controller Status Data,,,quantity,float32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1717,cg_eng_memory_ram,kbytes,0,Cg Eng Memory RAM,,0,,,,Engineering CPM Controller Status Data,,,quantity,uint32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1718,cg_eng_memory_free,kbytes,0,Cg Eng Memory Free,,0,,,,Engineering CPM Controller Status Data,,,quantity,uint32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1719,cg_eng_nproc,counts,0,Cg Eng Nproc,,,,,,Engineering CPM Controller Status Data,,,quantity,uint16
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1720,cg_eng_mpic_eflag,counts,0,Cg Eng Mpic Eflag,,,,,,Engineering CPM Controller Status Data,,,quantity,uint32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1721,cg_eng_mpic_main_v,V,-9999999,Cg Eng Mpic Main V,,0,,,,Engineering CPM Controller Status Data,,,quantity,float32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1722,cg_eng_mpic_main_c,mA,-9999999,Cg Eng Mpic Main C,,0,,,,Engineering CPM Controller Status Data,,,quantity,float32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1723,cg_eng_mpic_bat_v,V,-9999999,Cg Eng Mpic Bat V,,0,,,,Engineering CPM Controller Status Data,,,quantity,float32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1724,cg_eng_mpic_bat_c,mA,-9999999,Cg Eng Mpic Bat C,,0,,,,Engineering CPM Controller Status Data,,,quantity,float32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1725,cg_eng_mpic_temp1,deg_C,-9999999,Cg Eng Mpic Temp1,,1,,,,Engineering CPM Controller Status Data,,,quantity,float32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1726,cg_eng_mpic_temp2,deg_C,-9999999,Cg Eng Mpic Temp2,,1,,,,Engineering CPM Controller Status Data,,,quantity,float32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1727,cg_eng_mpic_humid,%,-9999999,Cg Eng Mpic Humd,,1,,,,Engineering CPM Controller Status Data,,,quantity,float32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1728,cg_eng_mpic_press,psi,-9999999,Cg Eng Mpic Press,,1,,,,Engineering CPM Controller Status Data,,,quantity,float32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1729,cg_eng_mpic_gf_ena,1,-9999999,Cg Eng Mpic GF ENA,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1730,cg_eng_mpic_gflt1,uA,-9999999,Cg Eng Mpic Gflt1,,1,,,,Engineering CPM Controller Status Data,,,quantity,float32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1731,cg_eng_mpic_gflt2,uA,-9999999,Cg Eng Mpic Gflt2,,1,,,,Engineering CPM Controller Status Data,,,quantity,float32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1732,cg_eng_mpic_gflt3,uA,-9999999,Cg Eng Mpic Gflt3,,1,,,,Engineering CPM Controller Status Data,,,quantity,float32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1733,cg_eng_mpic_gflt4,uA,-9999999,Cg Eng Mpic Gflt4,,1,,,,Engineering CPM Controller Status Data,,,quantity,float32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1734,cg_eng_mpic_ld_ena,counts,-9999999,Cg Eng Mpic LD Ena,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1735,cg_eng_mpic_ldet1,mV,-9999999,Cg Eng Mpic Ldet1,,1,,,,Engineering CPM Controller Status Data,,,quantity,float32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1736,cg_eng_mpic_ldet2,mV,-9999999,Cg Eng Mpic Ldet2,,1,,,,Engineering CPM Controller Status Data,,,quantity,float32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1737,cg_eng_mpic_wsrc,counts,-9999999,Cg Eng Mpic Wsrc,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1738,cg_eng_mpic_irid,counts,-9999999,Cg Eng Mpic IRID,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1739,cg_eng_mpic_irid_v,V,-9999999,Cg Eng Mpic IRID V,,1,,,,Engineering CPM Controller Status Data,,,quantity,float32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1740,cg_eng_mpic_irid_c,mA,-9999999,Cg Eng Mpic IRID C,,1,,,,Engineering CPM Controller Status Data,,,quantity,float32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1741,cg_eng_mpic_irid_e,counts,-9999999,Cg Eng Mpic IRID E,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1742,cg_eng_mpic_fw_wifi,counts,-9999999,Cg Eng Mpic Fw WIFI,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1743,cg_eng_mpic_fw_wifi_v,V,-9999999,Cg Eng Mpic Fw WIFI V,,1,,,,Engineering CPM Controller Status Data,,,quantity,float32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1744,cg_eng_mpic_fw_wifi_c,mA,-9999999,Cg Eng Mpic Fw WIFI C,,1,,,,Engineering CPM Controller Status Data,,,quantity,float32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1745,cg_eng_mpic_fw_wifi_e,counts,-9999999,Cg Eng Mpic Fw WIFI E,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1746,cg_eng_mpic_gps,counts,-9999999,Cg Eng Mpic GPS,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1747,cg_eng_mpic_sbd,counts,-9999999,Cg Eng Mpic SBD,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1748,cg_eng_mpic_sbd_ce_msg,counts,-9999999,Cg Eng Mpic SBD CE Msg,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1749,cg_eng_mpic_pps,counts,-9999999,Cg Eng Mpic PPS,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1750,cg_eng_mpic_dcl,counts,0,Cg Eng Mpic DCL,,0,,,,Engineering CPM Controller Status Data,,,quantity,uint32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1751,cg_eng_mpic_esw,counts,0,Cg Eng Mpic ESW,,0,,,,Engineering CPM Controller Status Data,,,quantity,uint32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1752,cg_eng_mpic_dsl,counts,0,Cg Eng Mpic DSL,,0,,,,Engineering CPM Controller Status Data,,,quantity,uint32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1753,cg_eng_mpic_hbeat_enable,counts,-9999999,Cg Eng Mpic Hbeat Enable,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1754,cg_eng_mpic_hbeat_dtime,s,-9999999,Cg Eng Mpic Hbeat Dtime,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1755,cg_eng_mpic_hbeat_threshold,counts,-9999999,Cg Eng Mpic Hbeat Threshold,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1756,cg_eng_mpic_wake_cpm,minutes,-9999999,Cg Eng Mpic Wake CPM,,0,,,,Engineering CPM Controller Status Data,,,quantity,float32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1757,cg_eng_mpic_wpc,counts,-9999999,Cg Eng Mpic WPC,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1758,cg_eng_mpic_eflag2,counts,0,Cg Eng Mpic Eflag2,,0,,,,Engineering CPM Controller Status Data,,,quantity,uint32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1759,cg_eng_mpic_last_update,ms,-9999999,Cg Eng Mpic Last Update,,3,,,,Engineering CPM Controller Status Data,,,quantity,float32
